run_id,metric,value
main_001__internal_tool_cli__cursor_agent__rep07,hallucinations,0.0
main_001__internal_tool_cli__cursor_agent__rep08,hallucinations,0.0
main_001__internal_tool_cli__cursor_agent__rep09,hallucinations,0.0
main_001__agent_education_system__replit_agent__rep00,hallucinations,0.0
main_001__agent_education_system__replit_agent__rep01,hallucinations,0.0
main_001__agent_education_system__replit_agent__rep02,hallucinations,0.0
main_001__agent_education_system__replit_agent__rep03,hallucinations,0.0
main_001__agent_education_system__replit_agent__rep04,hallucinations,0.0
main_001__agent_education_system__replit_agent__rep05,hallucinations,0.0
main_001__agent_education_system__replit_agent__rep06,hallucinations,0.0
main_001__agent_education_system__replit_agent__rep07,hallucinations,0.0
main_001__agent_education_system__replit_agent__rep08,hallucinations,0.0
main_001__agent_education_system__replit_agent__rep09,hallucinations,0.0
main_001__agent_education_system__antigravity__rep00,hallucinations,1.0
main_001__agent_education_system__antigravity__rep01,hallucinations,1.0
main_001__agent_education_system__antigravity__rep02,hallucinations,1.0
main_001__agent_education_system__antigravity__rep03,hallucinations,1.0
main_001__agent_education_system__antigravity__rep04,hallucinations,1.0
main_001__agent_education_system__antigravity__rep05,hallucinations,1.0
main_001__agent_education_system__antigravity__rep06,hallucinations,1.0
main_001__agent_education_system__antigravity__rep07,hallucinations,1.0
main_001__agent_education_system__antigravity__rep08,hallucinations,1.0
main_001__agent_education_system__antigravity__rep09,hallucinations,1.0
main_001__data_pipeline__replit_agent__rep00,hallucinations,0.0
main_001__data_pipeline__replit_agent__rep01,hallucinations,0.0
main_001__data_pipeline__replit_agent__rep02,hallucinations,0.0
main_001__data_pipeline__replit_agent__rep03,hallucinations,0.0
main_001__data_pipeline__replit_agent__rep04,hallucinations,0.0
main_001__data_pipeline__replit_agent__rep05,hallucinations,0.0
main_001__data_pipeline__replit_agent__rep06,hallucinations,0.0
main_001__data_pipeline__replit_agent__rep07,hallucinations,0.0
main_001__data_pipeline__replit_agent__rep08,hallucinations,0.0
main_001__data_pipeline__replit_agent__rep09,hallucinations,0.0
main_001__data_pipeline__antigravity__rep00,hallucinations,0.0
main_001__data_pipeline__antigravity__rep01,hallucinations,0.0
main_001__data_pipeline__antigravity__rep02,hallucinations,0.0
main_001__data_pipeline__antigravity__rep03,hallucinations,0.0
main_001__data_pipeline__antigravity__rep04,hallucinations,0.0
main_001__data_pipeline__antigravity__rep05,hallucinations,0.0
main_001__data_pipeline__antigravity__rep06,hallucinations,0.0
main_001__data_pipeline__antigravity__rep07,hallucinations,0.0
main_001__data_pipeline__antigravity__rep08,hallucinations,0.0
main_001__data_pipeline__antigravity__rep09,hallucinations,0.0
main_001__internal_tool_cli__replit_agent__rep00,hallucinations,3.0
main_001__internal_tool_cli__replit_agent__rep01,hallucinations,3.0
main_001__internal_tool_cli__replit_agent__rep02,hallucinations,3.0
main_001__internal_tool_cli__replit_agent__rep03,hallucinations,3.0
main_001__internal_tool_cli__replit_agent__rep04,hallucinations,3.0
main_001__internal_tool_cli__replit_agent__rep05,hallucinations,3.0
main_001__internal_tool_cli__replit_agent__rep06,hallucinations,3.0
main_001__internal_tool_cli__replit_agent__rep07,hallucinations,3.0
main_001__internal_tool_cli__replit_agent__rep08,hallucinations,3.0
main_001__internal_tool_cli__replit_agent__rep09,hallucinations,3.0
main_001__internal_tool_cli__antigravity__rep00,hallucinations,0.0
main_001__internal_tool_cli__antigravity__rep01,hallucinations,0.0
main_001__internal_tool_cli__antigravity__rep02,hallucinations,0.0
main_001__internal_tool_cli__antigravity__rep03,hallucinations,0.0
main_001__internal_tool_cli__antigravity__rep04,hallucinations,0.0
main_001__internal_tool_cli__antigravity__rep05,hallucinations,0.0
main_001__internal_tool_cli__antigravity__rep06,hallucinations,0.0
main_001__internal_tool_cli__antigravity__rep07,hallucinations,0.0
main_001__internal_tool_cli__antigravity__rep08,hallucinations,0.0
main_001__internal_tool_cli__antigravity__rep09,hallucinations,0.0
